draw_date,numbers,draw_time
2014-02-01,744,evening
2014-02-01,558,midday
2014-02-02,089,evening
2014-02-02,103,midday
2014-02-03,161,midday
2014-02-03,898,evening
2014-02-04,477,midday
2014-02-04,466,evening
2014-02-05,935,midday
2014-02-05,072,evening
2014-02-06,951,midday
2014-02-06,700,evening
2014-02-06,804,midday
2014-02-06,064,evening
2014-02-07,846,midday
2014-02-07,797,evening
2014-02-08,132,midday
2014-02-08,154,evening
2014-02-09,701,evening
2014-02-09,213,midday
2014-02-10,546,midday
2014-02-10,993,evening
2014-02-11,438,midday
2014-02-11,599,evening
2014-02-12,623,evening
2014-02-12,461,midday
2014-02-13,059,evening
2014-02-13,580,midday
2014-02-14,054,midday
2014-02-14,006,evening
2014-02-15,951,midday
2014-02-15,700,evening
2014-02-16,857,evening
2014-02-16,855,midday
2014-02-17,531,evening
2014-02-17,135,midday
2014-02-18,544,midday
2014-02-18,921,evening
2014-02-19,561,midday
2014-02-19,927,evening
2014-02-20,295,evening
2014-02-20,690,midday
2014-02-21,371,midday
2014-02-21,250,evening
2014-02-22,720,evening
2014-02-22,651,midday
2014-02-23,818,midday
2014-02-23,901,evening
2014-02-24,221,evening
2014-02-24,799,midday
2014-02-25,817,evening
2014-02-25,775,midday
2014-02-26,975,midday
2014-02-26,558,midday
2014-02-26,744,evening
2014-02-26,106,evening
2014-02-27,222,evening
2014-02-27,744,evening
2014-02-27,558,midday
2014-02-27,697,midday
2014-02-28,847,midday
2014-02-28,907,evening
2014-02-28,558,midday
2014-02-28,744,evening
2014-03-01,567,evening
2014-03-01,032,midday
2014-03-02,708,evening
2014-03-02,580,midday
2014-03-03,343,evening
2014-03-03,606,midday
2014-03-04,639,midday
2014-03-04,527,evening
2014-03-05,727,evening
2014-03-05,805,midday
2014-03-05,617,midday
2014-03-06,252,midday
2014-03-06,374,evening
2014-03-07,719,midday
2014-03-07,060,evening
2014-03-08,397,midday
2014-03-08,813,evening
2014-03-09,533,midday
2014-03-09,104,evening
2014-03-10,386,evening
2014-03-10,202,midday
2014-03-11,645,evening
2014-03-11,884,midday
2014-03-12,635,evening
2014-03-12,488,midday
2014-03-13,170,evening
2014-03-13,309,midday
2014-03-14,521,midday
2014-03-14,338,evening
2014-03-15,494,midday
2014-03-15,711,evening
2014-03-16,065,evening
2014-03-16,549,midday
2014-03-17,556,evening
2014-03-17,732,midday
2014-03-18,356,evening
2014-03-18,536,midday
2014-03-19,507,evening
2014-03-19,849,midday
2014-03-20,827,evening
