draw_date,numbers,draw_time
2014-02-01,650,midday
2014-02-01,729,evening
2014-02-02,742,midday
2014-02-02,173,evening
2014-02-03,409,evening
2014-02-03,633,midday
2014-02-04,194,midday
2014-02-04,638,evening
2014-02-05,845,evening
2014-02-05,982,midday
2014-02-06,910,evening
2014-02-06,441,midday
2014-02-07,604,evening
2014-02-07,107,midday
2014-02-08,377,midday
2014-02-08,674,evening
2014-02-09,586,evening
2014-02-09,185,midday
2014-02-10,927,midday
2014-02-10,668,evening
2014-02-10,305,midday
2014-02-10,460,evening
2014-02-11,542,evening
2014-02-11,770,midday
2014-02-12,074,midday
2014-02-12,738,evening
2014-02-13,978,midday
2014-02-13,172,evening
2014-02-14,966,midday
2014-02-14,962,evening
2014-02-15,214,midday
2014-02-15,594,evening
2014-02-16,117,evening
2014-02-16,590,midday
2014-02-17,604,midday
2014-02-17,201,evening
2014-02-18,132,midday
2014-02-18,867,evening
2014-02-19,244,evening
2014-02-19,842,midday
2014-02-20,430,midday
2014-02-20,221,evening
2014-02-21,776,midday
2014-02-21,430,evening
2014-02-22,010,midday
2014-02-22,305,evening
2014-02-23,460,midday
2014-02-23,230,evening
2014-02-24,583,evening
2014-02-24,655,midday
2014-02-25,943,midday
2014-02-25,125,evening
2014-02-26,831,midday
2014-02-26,122,evening
2014-02-26,650,midday
2014-02-26,729,evening
2014-02-27,729,evening
2014-02-27,650,midday
2014-02-27,808,midday
2014-02-27,091,evening
2014-02-28,729,evening
2014-02-28,650,midday
2014-02-28,779,midday
2014-02-28,441,evening
2014-03-01,942,evening
2014-03-01,618,midday
2014-03-02,253,evening
2014-03-02,068,midday
2014-03-03,882,evening
2014-03-03,898,midday
2014-03-04,088,evening
2014-03-04,980,midday
2014-03-05,572,evening
2014-03-05,296,midday
2014-03-05,556,midday
2014-03-06,008,midday
2014-03-06,888,evening
2014-03-07,523,evening
2014-03-07,246,midday
2014-03-08,209,evening
2014-03-08,888,midday
2014-03-08,246,evening
2014-03-08,499,midday
2014-03-09,981,evening
2014-03-09,991,midday
2014-03-10,117,midday
2014-03-10,817,evening
2014-03-11,994,midday
2014-03-11,522,evening
2014-03-12,434,midday
2014-03-12,827,evening
2014-03-13,907,evening
2014-03-13,487,midday
2014-03-14,763,midday
2014-03-14,381,evening
2014-03-15,991,midday
2014-03-15,535,evening
2014-03-16,736,evening
2014-03-16,261,midday
2014-03-17,257,evening
2014-03-17,945,midday
2014-03-18,603,evening
2014-03-18,685,midday
2014-03-19,944,midday
2014-03-19,493,evening
2014-03-20,166,evening
2014-03-20,401,midday
2014-03-20,644,midday
2014-03-20,195,evening
2014-03-21,642,evening
2014-03-21,485,midday
2014-03-22,817,evening
2014-03-22,023,midday
2014-03-23,708,evening
2014-03-23,454,midday
2014-03-23,454,evening
2014-03-23,942,evening
2014-03-23,618,midday
2014-03-23,817,midday
2014-03-24,142,evening
2014-03-24,942,evening
2014-03-24,618,midday
2014-03-24,790,midday
2014-03-25,942,evening
2014-03-25,618,midday
2014-03-25,169,midday
2014-03-25,158,evening
2014-03-26,942,evening
2014-03-26,618,midday
2014-03-26,065,midday
2014-03-26,378,evening
2014-03-27,644,evening
2014-03-27,618,midday
2014-03-27,942,evening
2014-03-27,020,midday
2014-03-28,967,evening
2014-03-28,618,midday
2014-03-28,942,evening
2014-03-28,195,midday
2014-03-29,617,midday
2014-03-29,309,evening
2014-03-30,166,midday
2014-03-30,915,evening
2014-03-31,172,midday
2014-03-31,976,evening
2014-04-01,556,midday
2014-04-01,797,evening
2014-04-02,193,midday
2014-04-02,385,evening
2014-04-03,671,midday
2014-04-03,858,evening
2014-04-04,139,midday
2014-04-04,743,evening
2014-04-05,605,midday
2014-04-05,193,evening
2014-04-06,691,evening
2014-04-06,058,midday
2014-04-07,261,midday
2014-04-07,694,evening
2014-04-08,637,midday
2014-04-08,699,evening
2014-04-09,929,midday
2014-04-09,687,evening
2014-04-10,878,midday
2014-04-10,721,evening
2014-04-11,645,midday
2014-04-11,723,evening
2014-04-12,235,midday
2014-04-12,596,evening
2014-04-13,317,midday
2014-04-13,348,evening
2014-04-14,182,midday
2014-04-14,338,evening
2014-04-15,794,evening
2014-04-15,131,midday
2014-04-16,936,midday
2014-04-16,941,evening
2014-04-17,581,midday
2014-04-17,958,evening
2014-04-18,149,midday
2014-04-18,306,evening
2014-04-19,551,midday
2014-04-19,380,evening
2014-04-20,765,midday
2014-04-20,727,evening
2014-04-21,734,evening
2014-04-21,859,midday
2014-04-22,883,midday
2014-04-22,702,evening
2014-04-23,634,midday
2014-04-23,520,evening
2014-04-24,387,midday
2014-04-24,148,evening
2014-04-25,183,midday
2014-04-25,648,evening
2014-04-26,580,midday
2014-04-26,084,evening
2014-04-27,555,evening
2014-04-27,795,midday
2014-04-28,165,evening
2014-04-28,409,midday
2014-04-29,196,evening
2014-04-29,839,midday
2014-04-30,814,midday
2014-04-30,164,evening
2014-04-30,556,midday
2014-04-30,797,evening
2014-05-01,931,evening
2014-05-01,795,midday
2014-05-02,999,evening
2014-05-02,836,midday
2014-05-03,918,evening
2014-05-03,717,midday
2014-05-04,247,midday
2014-05-04,262,evening
2014-05-05,171,midday
2014-05-05,605,evening
2014-05-06,332,midday
2014-05-06,880,evening
2014-05-07,967,midday
2014-05-07,423,evening
2014-05-08,962,midday
2014-05-08,055,evening
2014-05-09,094,evening
2014-05-09,239,midday
2014-05-10,517,midday
2014-05-10,142,evening
2014-05-11,743,midday
2014-05-11,087,evening
2014-05-12,737,midday
2014-05-12,276,evening
2014-05-13,514,midday
2014-05-13,753,evening
2014-05-14,974,midday
2014-05-14,962,evening
2014-05-15,734,midday
2014-05-15,504,evening
2014-05-16,598,evening
2014-05-16,982,midday
2014-05-17,734,midday
2014-05-17,969,evening
2014-05-18,560,midday
2014-05-18,721,evening
2014-05-19,679,midday
2014-05-19,100,evening
2014-05-20,368,midday
2014-05-20,688,evening
2014-05-21,299,evening
2014-05-21,583,midday
2014-05-22,254,evening
2014-05-22,969,midday
2014-05-23,481,evening
