date,number,state
2017-01-01,223,GA
2017-01-01,736,GA
2017-01-02,443,GA
2017-01-02,841,GA
2017-01-03,676,GA
2017-01-03,611,GA
2017-01-04,674,GA
2017-01-04,426,GA
2017-01-05,423,GA
2017-01-05,128,GA
2017-01-06,775,GA
2017-01-06,002,GA
2017-01-07,935,GA
2017-01-07,851,GA
2017-01-08,764,GA
2017-01-08,718,GA
2017-01-09,829,GA
2017-01-09,632,GA
2017-01-10,017,GA
2017-01-10,555,GA
2017-01-11,667,GA
2017-01-11,887,GA
2017-01-12,663,GA
2017-01-12,887,GA
2017-01-13,909,GA
2017-01-13,317,GA
2017-01-14,740,GA
2017-01-14,002,GA
2017-01-15,533,GA
2017-01-15,700,GA
2017-01-16,127,GA
2017-01-16,266,GA
2017-01-17,761,GA
2017-01-17,576,GA
2017-01-18,203,GA
2017-01-18,305,GA
2017-01-19,857,GA
2017-01-19,296,GA
2017-01-20,790,GA
2017-01-20,867,GA
2017-01-21,760,GA
2017-01-21,293,GA
2017-01-22,095,GA
2017-01-22,989,GA
2017-01-23,318,GA
2017-01-23,958,GA
2017-01-24,540,GA
2017-01-24,382,GA
2017-01-25,640,GA
2017-01-25,042,GA
2017-01-26,871,GA
2017-01-26,731,GA
2017-01-27,139,GA
2017-01-27,143,GA
2017-01-28,638,GA
2017-01-28,199,GA
2017-01-29,464,GA
2017-01-29,316,GA
2017-01-30,912,GA
2017-01-30,029,GA
2017-01-31,082,GA
2017-01-31,036,GA
2017-02-01,989,GA
2017-02-01,195,GA
2017-02-02,311,GA
2017-02-02,671,GA
2017-02-03,923,GA
2017-02-03,072,GA
2017-02-04,809,GA
2017-02-04,910,GA
2017-02-05,652,GA
2017-02-05,143,GA
2017-02-06,139,GA
2017-02-06,640,GA
2017-02-07,529,GA
2017-02-07,991,GA
2017-02-08,378,GA
2017-02-08,545,GA
2017-02-09,784,GA
2017-02-09,264,GA
2017-02-10,594,GA
2017-02-10,374,GA
2017-02-11,295,GA
2017-02-11,448,GA
2017-02-12,021,GA
2017-02-12,882,GA
2017-02-12,579,GA
2017-02-13,971,GA
2017-02-13,973,GA
2017-02-13,037,GA
2017-02-14,833,GA
2017-02-14,239,GA
2017-02-14,173,GA
2017-02-15,529,GA
2017-02-15,590,GA
2017-02-15,863,GA
2017-02-16,362,GA
2017-02-16,160,GA
2017-02-16,404,GA
2017-02-17,020,GA
2017-02-17,760,GA
2017-02-17,514,GA
2017-02-18,464,GA
2017-02-18,834,GA
2017-02-18,617,GA
2017-02-19,118,GA
2017-02-19,101,GA
2017-02-19,369,GA
2017-02-20,951,GA
2017-02-20,204,GA
2017-02-20,700,GA
2017-02-21,220,GA
2017-02-21,362,GA
2017-02-21,356,GA
2017-02-22,380,GA
2017-02-22,853,GA
2017-02-22,300,GA
2017-02-23,592,GA
2017-02-23,356,GA
2017-02-23,781,GA
2017-02-24,839,GA
2017-02-24,332,GA
2017-02-24,626,GA
2017-02-25,505,GA
2017-02-25,074,GA
2017-02-25,048,GA
2017-02-26,468,GA
2017-02-26,740,GA
2017-02-26,076,GA
2017-02-27,531,GA
2017-02-27,829,GA
2017-02-27,274,GA
2017-02-28,959,GA
2017-02-28,777,GA
2017-02-28,854,GA
2017-03-01,782,GA
2017-03-01,571,GA
2017-03-01,933,GA
2017-03-02,031,GA
2017-03-02,752,GA
2017-03-02,182,GA
2017-03-03,747,GA
2017-03-03,454,GA
2017-03-03,399,GA
2017-03-04,359,GA
2017-03-04,122,GA
2017-03-04,058,GA
2017-03-05,871,GA
2017-03-05,695,GA
2017-03-05,859,GA
2017-03-06,340,GA
2017-03-06,735,GA
2017-03-06,645,GA
2017-03-07,024,GA
2017-03-07,902,GA
2017-03-07,959,GA
2017-03-08,610,GA
2017-03-08,892,GA
2017-03-08,729,GA
2017-03-09,558,GA
2017-03-09,421,GA
2017-03-09,525,GA
2017-03-10,662,GA
2017-03-10,716,GA
2017-03-10,925,GA
2017-03-11,654,GA
2017-03-11,767,GA
2017-03-11,170,GA
2017-03-12,342,GA
2017-03-12,074,GA
2017-03-12,809,GA
2017-03-13,567,GA
2017-03-13,175,GA
2017-03-13,820,GA
2017-03-14,549,GA
2017-03-14,752,GA
2017-03-14,429,GA
2017-03-15,223,GA
2017-03-15,316,GA
2017-03-15,822,GA
2017-03-16,237,GA
2017-03-16,182,GA
2017-03-16,174,GA
2017-03-17,409,GA
2017-03-17,595,GA
2017-03-17,356,GA
2017-03-18,195,GA
2017-03-18,810,GA
2017-03-18,751,GA
2017-03-19,386,GA
2017-03-19,265,GA
2017-03-19,758,GA
2017-03-20,381,GA
2017-03-20,756,GA
2017-03-20,009,GA
2017-03-21,046,GA
2017-03-21,721,GA
2017-03-21,984,GA
2017-03-22,226,GA
2017-03-22,935,GA
2017-03-22,973,GA
2017-03-23,802,GA
2017-03-23,887,GA
2017-03-23,791,GA
2017-03-24,982,GA
2017-03-24,304,GA
2017-03-24,256,GA
2017-03-25,412,GA
2017-03-25,269,GA
2017-03-25,851,GA
2017-03-26,390,GA
2017-03-26,344,GA
2017-03-26,180,GA
2017-03-27,361,GA
2017-03-27,658,GA
2017-03-27,795,GA
2017-03-28,568,GA
2017-03-28,477,GA
2017-03-28,264,GA
2017-03-29,952,GA
2017-03-29,767,GA
2017-03-29,274,GA
2017-03-30,190,GA
2017-03-30,238,GA
2017-03-30,395,GA
2017-03-31,343,GA
2017-03-31,221,GA
2017-03-31,057,GA
2017-04-01,893,GA
2017-04-01,287,GA
2017-04-01,224,GA
2017-04-02,257,GA
2017-04-02,856,GA
2017-04-02,848,GA
2017-04-03,978,GA
2017-04-03,380,GA
2017-04-03,275,GA
2017-04-04,269,GA
2017-04-04,029,GA
2017-04-04,257,GA
2017-04-05,917,GA
2017-04-05,345,GA
2017-04-05,542,GA
2017-04-06,193,GA
2017-04-06,568,GA
2017-04-06,727,GA
2017-04-07,231,GA
2017-04-07,960,GA
2017-04-07,998,GA
2017-04-08,480,GA
2017-04-08,257,GA
2017-04-08,081,GA
2017-04-09,418,GA
2017-04-09,623,GA
2017-04-09,369,GA
2017-04-10,807,GA
2017-04-10,069,GA
2017-04-10,010,GA
2017-04-11,935,GA
2017-04-11,160,GA
2017-04-11,995,GA
2017-04-12,599,GA
2017-04-12,431,GA
2017-04-12,401,GA
2017-04-13,178,GA
2017-04-13,423,GA
2017-04-13,616,GA
2017-04-14,893,GA
2017-04-14,362,GA
2017-04-14,028,GA
2017-04-15,436,GA
2017-04-15,432,GA
2017-04-15,291,GA
2017-04-16,638,GA
2017-04-16,771,GA
2017-04-16,017,GA
2017-04-17,685,GA
2017-04-17,312,GA
2017-04-17,839,GA
2017-04-18,858,GA
2017-04-18,088,GA
2017-04-18,818,GA
2017-04-19,329,GA
2017-04-19,116,GA
2017-04-19,355,GA
2017-04-20,507,GA
2017-04-20,682,GA
2017-04-20,128,GA
2017-04-21,801,GA
2017-04-21,810,GA
2017-04-21,966,GA
2017-04-22,726,GA
2017-04-22,682,GA
2017-04-22,201,GA
2017-04-23,917,GA
2017-04-23,128,GA
2017-04-23,321,GA
2017-04-24,278,GA
2017-04-24,057,GA
2017-04-24,747,GA
2017-04-25,786,GA
2017-04-25,948,GA
2017-04-25,098,GA
2017-04-26,254,GA
2017-04-26,883,GA
2017-04-26,957,GA
2017-04-27,301,GA
2017-04-27,299,GA
2017-04-27,292,GA
2017-04-28,414,GA
2017-04-28,274,GA
2017-04-28,276,GA
2017-04-29,335,GA
2017-04-29,896,GA
2017-04-29,947,GA
2017-04-30,669,GA
2017-04-30,354,GA
2017-04-30,180,GA
2017-05-01,367,GA
2017-05-01,019,GA
2017-05-01,825,GA
2017-05-02,447,GA
2017-05-02,056,GA
2017-05-02,804,GA
2017-05-03,296,GA
2017-05-03,632,GA
2017-05-03,851,GA
2017-05-04,329,GA
2017-05-04,019,GA
2017-05-04,228,GA
2017-05-05,821,GA
2017-05-05,470,GA
2017-05-05,493,GA
2017-05-06,846,GA
2017-05-06,653,GA
2017-05-06,383,GA
2017-05-07,058,GA
2017-05-07,539,GA
2017-05-07,806,GA
2017-05-08,118,GA
2017-05-08,514,GA
2017-05-08,310,GA
2017-05-09,312,GA
2017-05-09,757,GA
2017-05-09,798,GA
2017-05-10,806,GA
2017-05-10,832,GA
2017-05-10,897,GA
2017-05-11,524,GA
2017-05-11,907,GA
2017-05-11,448,GA
2017-05-12,207,GA
2017-05-12,478,GA
2017-05-12,178,GA
2017-05-13,450,GA
2017-05-13,052,GA
2017-05-13,357,GA
2017-05-14,996,GA
2017-05-14,459,GA
2017-05-14,653,GA
2017-05-15,420,GA
2017-05-15,666,GA
2017-05-15,408,GA
2017-05-16,808,GA
2017-05-16,212,GA
2017-05-16,334,GA
2017-05-17,022,GA
2017-05-17,596,GA
2017-05-17,424,GA
2017-05-18,487,GA
2017-05-18,919,GA
2017-05-18,672,GA
2017-05-19,646,GA
2017-05-19,225,GA
2017-05-19,361,GA
2017-05-20,151,GA
2017-05-20,217,GA
2017-05-20,340,GA
2017-05-21,328,GA
2017-05-21,602,GA
2017-05-21,464,GA
2017-05-22,209,GA
2017-05-22,888,GA
2017-05-22,245,GA
2017-05-23,791,GA
2017-05-23,728,GA
2017-05-23,306,GA
2017-05-24,019,GA
2017-05-24,648,GA
2017-05-24,657,GA
2017-05-25,777,GA
2017-05-25,999,GA
2017-05-25,614,GA
2017-05-26,944,GA
2017-05-26,014,GA
2017-05-26,191,GA
2017-05-27,625,GA
2017-05-27,940,GA
2017-05-27,362,GA
2017-05-28,318,GA
2017-05-28,326,GA
2017-05-28,655,GA
2017-05-29,719,GA
2017-05-29,768,GA
2017-05-29,453,GA
2017-05-30,564,GA
2017-05-30,113,GA
2017-05-30,035,GA
2017-05-31,405,GA
2017-05-31,232,GA
2017-05-31,313,GA
2017-06-01,219,GA
2017-06-01,210,GA
2017-06-01,756,GA
2017-06-02,796,GA
2017-06-02,068,GA
2017-06-02,072,GA
2017-06-03,631,GA
2017-06-03,163,GA
2017-06-03,152,GA
2017-06-04,001,GA
2017-06-04,013,GA
2017-06-04,328,GA
2017-06-05,247,GA
2017-06-05,744,GA
2017-06-05,703,GA
2017-06-06,701,GA
2017-06-06,731,GA
2017-06-06,124,GA
2017-06-07,022,GA
2017-06-07,214,GA
2017-06-07,563,GA
2017-06-08,064,GA
2017-06-08,457,GA
2017-06-08,944,GA
2017-06-09,228,GA
2017-06-09,468,GA
2017-06-09,994,GA
2017-06-10,405,GA
2017-06-10,604,GA
2017-06-10,240,GA
2017-06-11,675,GA
2017-06-11,513,GA
2017-06-11,156,GA
2017-06-12,531,GA
2017-06-12,074,GA
2017-06-12,805,GA
2017-06-13,733,GA
2017-06-13,173,GA
2017-06-13,356,GA
2017-06-14,044,GA
2017-06-14,878,GA
2017-06-14,858,GA
2017-06-15,381,GA
2017-06-15,712,GA
2017-06-15,996,GA
2017-06-16,792,GA
2017-06-16,091,GA
2017-06-16,717,GA
2017-06-17,353,GA
2017-06-17,361,GA
2017-06-17,899,GA
2017-06-18,381,GA
2017-06-18,880,GA
2017-06-18,350,GA
2017-06-19,435,GA
2017-06-19,629,GA
2017-06-19,305,GA
2017-06-20,148,GA
2017-06-20,963,GA
2017-06-20,978,GA
2017-06-21,475,GA
2017-06-21,451,GA
2017-06-21,099,GA
2017-06-22,716,GA
2017-06-22,350,GA
2017-06-22,223,GA
2017-06-23,069,GA
2017-06-23,978,GA
2017-06-23,923,GA
2017-06-24,793,GA
2017-06-24,720,GA
2017-06-24,142,GA
2017-06-25,102,GA
2017-06-25,928,GA
2017-06-25,208,GA
2017-06-26,445,GA
2017-06-26,425,GA
2017-06-26,898,GA
2017-06-27,856,GA
2017-06-27,671,GA
2017-06-27,452,GA
2017-06-28,521,GA
2017-06-28,425,GA
2017-06-28,148,GA
2017-06-29,924,GA
2017-06-29,103,GA
2017-06-29,204,GA
2017-06-30,510,GA
2017-06-30,304,GA
2017-06-30,354,GA
2017-07-01,919,GA
2017-07-01,185,GA
2017-07-01,397,GA
2017-07-02,321,GA
2017-07-02,856,GA
2017-07-02,785,GA
2017-07-03,456,GA
2017-07-03,521,GA
2017-07-03,081,GA
2017-07-04,960,GA
2017-07-04,717,GA
2017-07-04,847,GA
2017-07-05,916,GA
2017-07-05,914,GA
2017-07-05,589,GA
2017-07-06,596,GA
2017-07-06,510,GA
2017-07-06,841,GA
2017-07-07,530,GA
2017-07-07,773,GA
2017-07-07,929,GA
2017-07-08,842,GA
2017-07-08,729,GA
2017-07-08,585,GA
2017-07-09,196,GA
2017-07-09,488,GA
2017-07-09,675,GA
2017-07-10,828,GA
2017-07-10,783,GA
2017-07-10,818,GA
2017-07-11,375,GA
2017-07-11,143,GA
2017-07-11,066,GA
2017-07-12,152,GA
2017-07-12,148,GA
2017-07-12,435,GA
2017-07-13,689,GA
2017-07-13,379,GA
2017-07-13,399,GA
2017-07-14,516,GA
2017-07-14,781,GA
2017-07-14,626,GA
2017-07-15,176,GA
2017-07-15,795,GA
2017-07-15,797,GA
2017-07-16,520,GA
2017-07-16,977,GA
2017-07-16,955,GA
2017-07-17,125,GA
2017-07-17,023,GA
2017-07-17,565,GA
2017-07-18,541,GA
2017-07-18,387,GA
2017-07-18,688,GA
2017-07-19,649,GA
2017-07-19,254,GA
2017-07-19,924,GA
2017-07-20,554,GA
2017-07-20,758,GA
2017-07-20,655,GA
2017-07-21,423,GA
2017-07-21,428,GA
2017-07-21,453,GA
2017-07-22,614,GA
2017-07-22,133,GA
2017-07-22,324,GA
2017-07-23,172,GA
2017-07-23,191,GA
2017-07-23,932,GA
2017-07-24,176,GA
2017-07-24,164,GA
2017-07-24,076,GA
2017-07-25,370,GA
2017-07-25,745,GA
2017-07-25,481,GA
2017-07-26,948,GA
2017-07-26,543,GA
2017-07-26,869,GA
2017-07-27,187,GA
2017-07-27,240,GA
2017-07-27,212,GA
2017-07-28,706,GA
2017-07-28,426,GA
2017-07-28,993,GA
2017-07-29,420,GA
2017-07-29,264,GA
2017-07-29,085,GA
2017-07-30,602,GA
2017-07-30,108,GA
2017-07-30,572,GA
2017-07-31,074,GA
2017-07-31,967,GA
2017-07-31,194,GA
2017-08-01,001,GA
2017-08-01,968,GA
2017-08-01,369,GA
2017-08-02,712,GA
2017-08-02,195,GA
2017-08-02,493,GA
2017-08-03,803,GA
2017-08-03,109,GA
2017-08-03,653,GA
2017-08-04,473,GA
2017-08-04,958,GA
2017-08-04,406,GA
2017-08-05,645,GA
2017-08-05,870,GA
2017-08-05,459,GA
2017-08-06,404,GA
2017-08-06,122,GA
2017-08-06,247,GA
2017-08-07,597,GA
2017-08-07,317,GA
2017-08-07,892,GA
2017-08-08,964,GA
2017-08-08,685,GA
2017-08-08,237,GA
2017-08-09,281,GA
2017-08-09,996,GA
2017-08-09,361,GA
2017-08-10,405,GA
2017-08-10,320,GA
2017-08-10,003,GA
2017-08-11,274,GA
2017-08-11,549,GA
2017-08-11,652,GA
2017-08-12,612,GA
2017-08-12,190,GA
2017-08-12,077,GA
2017-08-13,145,GA
2017-08-13,491,GA
2017-08-13,420,GA
2017-08-14,107,GA
2017-08-14,741,GA
2017-08-14,646,GA
2017-08-15,461,GA
2017-08-15,255,GA
2017-08-15,106,GA
2017-08-16,339,GA
2017-08-16,309,GA
2017-08-16,791,GA
2017-08-17,969,GA
2017-08-17,438,GA
2017-08-17,980,GA
2017-08-18,779,GA
2017-08-18,006,GA
2017-08-18,161,GA
2017-08-19,647,GA
2017-08-19,549,GA
2017-08-19,383,GA
2017-08-20,988,GA
2017-08-20,913,GA
2017-08-20,523,GA
2017-08-21,702,GA
2017-08-21,582,GA
2017-08-21,176,GA
2017-08-22,753,GA
2017-08-22,573,GA
2017-08-22,973,GA
2017-08-23,071,GA
2017-08-23,164,GA
2017-08-23,069,GA
2017-08-24,325,GA
2017-08-24,623,GA
2017-08-24,463,GA
2017-08-25,059,GA
2017-08-25,621,GA
2017-08-25,466,GA
2017-08-26,544,GA
2017-08-26,899,GA
2017-08-26,617,GA
2017-08-27,242,GA
2017-08-27,706,GA
2017-08-27,253,GA
2017-08-28,029,GA
2017-08-28,540,GA
2017-08-28,320,GA
2017-08-29,731,GA
2017-08-29,462,GA
2017-08-29,425,GA
2017-08-30,546,GA
2017-08-30,191,GA
2017-08-30,144,GA
2017-08-31,713,GA
2017-08-31,788,GA
2017-08-31,325,GA
2017-09-01,261,GA
2017-09-01,996,GA
2017-09-01,470,GA
2017-09-02,469,GA
2017-09-02,037,GA
2017-09-02,606,GA
2017-09-03,210,GA
2017-09-03,610,GA
2017-09-03,899,GA
2017-09-04,974,GA
2017-09-04,102,GA
2017-09-04,853,GA
2017-09-05,231,GA
2017-09-05,498,GA
2017-09-05,610,GA
2017-09-06,346,GA
2017-09-06,743,GA
2017-09-06,564,GA
2017-09-07,562,GA
2017-09-07,160,GA
2017-09-07,079,GA
2017-09-08,832,GA
2017-09-08,105,GA
2017-09-08,660,GA
2017-09-09,391,GA
2017-09-09,384,GA
2017-09-09,576,GA
2017-09-10,763,GA
2017-09-10,710,GA
2017-09-10,372,GA
2017-09-11,280,GA
2017-09-11,502,GA
2017-09-11,473,GA
2017-09-12,368,GA
2017-09-12,939,GA
2017-09-12,572,GA
2017-09-13,952,GA
2017-09-13,738,GA
2017-09-13,886,GA
2017-09-14,129,GA
2017-09-14,197,GA
2017-09-14,174,GA
