draw_date,numbers,draw_time
2014-02-01,761,midday
2014-02-01,803,evening
2014-02-02,817,evening
2014-02-02,964,midday
2014-02-03,200,midday
2014-02-03,880,evening
2014-02-04,863,evening
2014-02-04,557,midday
2014-02-05,927,evening
2014-02-05,944,midday
2014-02-06,057,midday
2014-02-06,462,evening
2014-02-07,190,midday
2014-02-07,422,evening
2014-02-08,396,midday
2014-02-08,997,evening
2014-02-09,097,midday
2014-02-09,574,evening
2014-02-10,117,midday
2014-02-10,306,evening
2014-02-11,666,midday
2014-02-11,987,evening
2014-02-12,197,midday
2014-02-12,601,evening
2014-02-13,144,evening
2014-02-13,228,midday
2014-02-14,123,midday
2014-02-14,394,evening
2014-02-15,975,midday
2014-02-15,965,evening
2014-02-16,964,evening
2014-02-16,587,midday
2014-02-17,303,evening
2014-02-17,336,midday
2014-02-18,589,evening
2014-02-18,647,midday
2014-02-19,411,evening
2014-02-19,915,midday
2014-02-20,997,midday
2014-02-20,128,evening
2014-02-21,558,evening
2014-02-21,809,midday
2014-02-22,172,evening
2014-02-22,541,midday
2014-02-23,173,evening
2014-02-23,031,midday
2014-02-24,386,midday
2014-02-24,538,evening
2014-02-25,999,midday
2014-02-25,452,evening
2014-02-26,382,midday
2014-02-26,761,midday
2014-02-26,181,evening
2014-02-26,803,evening
2014-02-27,803,evening
2014-02-27,761,midday
2014-02-27,743,midday
2014-02-27,343,evening
2014-02-28,761,midday
2014-02-28,927,midday
2014-02-28,374,evening
2014-02-28,803,evening
2014-03-01,851,midday
2014-03-01,421,evening
2014-03-02,574,midday
2014-03-02,648,evening
2014-03-03,341,evening
2014-03-03,589,midday
2014-03-04,544,evening
2014-03-04,210,midday
2014-03-05,326,midday
2014-03-05,138,midday
2014-03-05,965,evening
2014-03-06,343,midday
2014-03-06,011,evening
2014-03-07,606,evening
2014-03-07,812,midday
2014-03-08,762,evening
2014-03-08,322,midday
2014-03-09,329,evening
2014-03-09,468,midday
2014-03-10,650,evening
2014-03-10,645,midday
2014-03-11,425,evening
2014-03-11,269,midday
2014-03-11,812,midday
2014-03-11,606,evening
2014-03-12,770,midday
2014-03-12,291,evening
2014-03-13,582,evening
2014-03-13,603,midday
2014-03-14,762,evening
2014-03-14,796,midday
2014-03-15,793,midday
2014-03-15,116,evening
2014-03-16,988,midday
2014-03-16,182,evening
2014-03-17,944,midday
2014-03-17,348,evening
2014-03-18,818,midday
2014-03-18,739,evening
