draw_date,numbers,draw_time
2014-02-01,243,midday
2014-02-01,661,evening
2014-02-02,023,midday
2014-02-02,430,evening
2014-02-03,202,midday
2014-02-03,593,evening
2014-02-04,547,evening
2014-02-04,672,midday
2014-02-05,650,evening
2014-02-05,772,evening
2014-02-05,684,midday
2014-02-05,668,midday
2014-02-06,502,midday
2014-02-06,796,evening
2014-02-07,459,midday
2014-02-07,630,evening
2014-02-08,005,evening
2014-02-08,883,midday
2014-02-09,668,midday
2014-02-09,650,evening
2014-02-10,160,midday
2014-02-10,933,evening
2014-02-11,825,evening
2014-02-11,793,midday
2014-02-12,852,evening
2014-02-12,468,midday
2014-02-13,243,evening
2014-02-13,041,midday
2014-02-14,059,evening
2014-02-14,611,midday
2014-02-15,508,midday
2014-02-15,637,evening
2014-02-16,145,midday
2014-02-16,772,evening
2014-02-17,754,midday
2014-02-17,778,evening
2014-02-18,610,midday
2014-02-18,115,evening
2014-02-19,942,midday
2014-02-19,419,evening
2014-02-20,195,midday
2014-02-20,119,evening
2014-02-21,603,evening
2014-02-21,817,midday
2014-02-22,334,evening
2014-02-22,238,midday
2014-02-23,330,evening
2014-02-23,135,midday
2014-02-23,202,evening
2014-02-23,430,midday
2014-02-24,064,evening
2014-02-24,250,midday
2014-02-25,972,midday
2014-02-25,053,evening
2014-02-26,073,midday
2014-02-26,800,evening
2014-02-26,661,evening
2014-02-26,243,midday
2014-02-27,997,midday
2014-02-27,991,evening
2014-02-27,661,evening
2014-02-27,243,midday
2014-02-28,243,midday
2014-02-28,661,evening
2014-02-28,597,midday
2014-02-28,670,evening
2014-03-01,392,evening
2014-03-01,142,midday
2014-03-02,884,midday
2014-03-02,858,evening
2014-03-03,136,evening
2014-03-03,554,midday
2014-03-04,137,evening
2014-03-04,477,midday
2014-03-05,321,evening
2014-03-05,535,midday
2014-03-05,890,midday
2014-03-06,817,evening
2014-03-06,273,midday
2014-03-07,281,midday
2014-03-07,843,evening
2014-03-08,762,midday
2014-03-08,728,evening
2014-03-09,833,evening
2014-03-09,281,midday
2014-03-10,597,evening
2014-03-10,232,midday
