id,draw_date,draw_time,numbers,sum_digits,root_sum,created_at
22926,2025-06-27,midday,735,15,6,2025-07-01 17:09:41
22925,2025-06-27,evening,804,12,3,2025-07-01 17:09:41
22923,2025-06-26,midday,819,18,9,2025-07-01 17:09:41
22924,2025-06-26,evening,756,18,9,2025-07-01 17:09:41
22921,2025-06-25,midday,158,14,5,2025-07-01 17:09:41
22922,2025-06-25,evening,590,14,5,2025-07-01 17:09:41
22919,2025-06-24,midday,229,13,4,2025-07-01 17:09:41
22920,2025-06-24,evening,431,8,8,2025-07-01 17:09:41
22918,2025-06-23,midday,106,7,7,2025-07-01 17:09:41
22917,2025-06-23,evening,152,8,8,2025-07-01 17:09:41
22915,2025-06-22,midday,985,22,4,2025-07-01 17:09:41
22916,2025-06-22,evening,887,23,5,2025-07-01 17:09:41
22913,2025-06-21,midday,182,11,2,2025-07-01 17:09:41
22914,2025-06-21,evening,554,14,5,2025-07-01 17:09:41
22911,2025-06-20,midday,399,21,3,2025-07-01 17:09:41
22912,2025-06-20,evening,445,13,4,2025-07-01 17:09:41
22909,2025-06-19,midday,034,7,7,2025-07-01 17:09:41
22910,2025-06-19,evening,740,11,2,2025-07-01 17:09:41
22907,2025-06-18,midday,234,9,9,2025-07-01 17:09:41
22908,2025-06-18,evening,351,9,9,2025-07-01 17:09:41
22905,2025-06-17,midday,758,20,2,2025-07-01 17:09:41
22906,2025-06-17,evening,926,17,8,2025-07-01 17:09:41
22903,2025-06-16,midday,170,8,8,2025-07-01 17:09:41
22904,2025-06-16,evening,431,8,8,2025-07-01 17:09:41
22901,2025-06-15,midday,031,4,4,2025-07-01 17:09:41
22902,2025-06-15,evening,253,10,1,2025-07-01 17:09:41
22899,2025-06-14,midday,214,7,7,2025-07-01 17:09:41
22900,2025-06-14,evening,394,16,7,2025-07-01 17:09:41
22897,2025-06-13,midday,999,27,9,2025-07-01 17:09:41
22898,2025-06-13,evening,115,7,7,2025-07-01 17:09:41
22895,2025-06-12,midday,203,5,5,2025-07-01 17:09:41
22896,2025-06-12,evening,446,14,5,2025-07-01 17:09:41
22893,2025-06-11,midday,634,13,4,2025-07-01 17:09:41
22894,2025-06-11,evening,960,15,6,2025-07-01 17:09:41
22892,2025-06-10,midday,573,15,6,2025-07-01 17:09:41
22891,2025-06-10,evening,210,3,3,2025-07-01 17:09:41
22890,2025-06-09,midday,254,11,2,2025-07-01 17:09:41
22889,2025-06-09,evening,811,10,1,2025-07-01 17:09:41
22887,2025-06-08,midday,270,9,9,2025-07-01 17:09:41
22888,2025-06-08,evening,159,15,6,2025-07-01 17:09:41
22885,2025-06-07,midday,557,17,8,2025-07-01 17:09:41
22886,2025-06-07,evening,806,14,5,2025-07-01 17:09:41
22883,2025-06-06,midday,274,13,4,2025-07-01 17:09:41
22884,2025-06-06,evening,579,21,3,2025-07-01 17:09:41
22881,2025-06-05,midday,342,9,9,2025-07-01 17:09:41
22882,2025-06-05,evening,170,8,8,2025-07-01 17:09:41
22879,2025-06-04,midday,937,19,1,2025-07-01 17:09:41
22880,2025-06-04,evening,071,8,8,2025-07-01 17:09:41
22877,2025-06-03,midday,211,4,4,2025-07-01 17:09:41
22878,2025-06-03,evening,760,13,4,2025-07-01 17:09:41
22875,2025-06-02,midday,946,19,1,2025-07-01 17:09:41
22876,2025-06-02,evening,457,16,7,2025-07-01 17:09:41
22874,2025-06-01,midday,110,2,2,2025-07-01 17:09:41
22873,2025-06-01,evening,475,16,7,2025-07-01 17:09:41
22871,2025-05-31,midday,529,16,7,2025-07-01 17:09:41
22872,2025-05-31,evening,495,18,9,2025-07-01 17:09:41
22870,2025-05-30,midday,061,7,7,2025-07-01 17:09:41
22869,2025-05-30,evening,841,13,4,2025-07-01 17:09:41
22867,2025-05-29,midday,138,12,3,2025-07-01 17:09:41
22868,2025-05-29,evening,209,11,2,2025-07-01 17:09:41
22865,2025-05-28,midday,739,19,1,2025-07-01 17:09:41
22866,2025-05-28,evening,811,10,1,2025-07-01 17:09:41
22863,2025-05-27,midday,941,14,5,2025-07-01 17:09:41
22864,2025-05-27,evening,130,4,4,2025-07-01 17:09:41
22861,2025-05-26,midday,471,12,3,2025-07-01 17:09:41
22862,2025-05-26,evening,757,19,1,2025-07-01 17:09:41
22859,2025-05-25,midday,725,14,5,2025-07-01 17:09:41
22860,2025-05-25,evening,404,8,8,2025-07-01 17:09:41
22857,2025-05-24,midday,476,17,8,2025-07-01 17:09:41
22858,2025-05-24,evening,454,13,4,2025-07-01 17:09:41
22856,2025-05-23,midday,041,5,5,2025-07-01 17:09:41
22855,2025-05-23,evening,580,13,4,2025-07-01 17:09:41
22854,2025-05-22,midday,205,7,7,2025-07-01 17:09:41
22853,2025-05-22,evening,244,10,1,2025-07-01 17:09:41
22851,2025-05-21,midday,703,10,1,2025-07-01 17:09:41
22852,2025-05-21,evening,478,19,1,2025-07-01 17:09:41
22849,2025-05-20,midday,891,18,9,2025-07-01 17:09:41
22850,2025-05-20,evening,072,9,9,2025-07-01 17:09:41
22847,2025-05-19,midday,848,20,2,2025-07-01 17:09:41
22848,2025-05-19,evening,108,9,9,2025-07-01 17:09:41
22845,2025-05-18,midday,036,9,9,2025-07-01 17:09:41
22846,2025-05-18,evening,776,20,2,2025-07-01 17:09:41
22843,2025-05-17,midday,916,16,7,2025-07-01 17:09:41
22844,2025-05-17,evening,166,13,4,2025-07-01 17:09:41
22841,2025-05-16,midday,146,11,2,2025-07-01 17:09:41
22842,2025-05-16,evening,741,12,3,2025-07-01 17:09:41
22839,2025-05-15,midday,908,17,8,2025-07-01 17:09:41
22840,2025-05-15,evening,124,7,7,2025-07-01 17:09:41
22837,2025-05-14,midday,338,14,5,2025-07-01 17:09:41
22838,2025-05-14,evening,972,18,9,2025-07-01 17:09:41
22835,2025-05-13,midday,969,24,6,2025-07-01 17:09:41
22836,2025-05-13,evening,468,18,9,2025-07-01 17:09:41
22834,2025-05-12,midday,176,14,5,2025-07-01 17:09:41
22833,2025-05-12,evening,051,6,6,2025-07-01 17:09:41
22832,2025-05-11,midday,384,15,6,2025-07-01 17:09:41
22831,2025-05-11,evening,269,17,8,2025-07-01 17:09:41
22829,2025-05-10,midday,886,22,4,2025-07-01 17:09:41
22830,2025-05-10,evening,760,13,4,2025-07-01 17:09:41
22827,2025-05-09,midday,184,13,4,2025-07-01 17:09:41
22828,2025-05-09,evening,383,14,5,2025-07-01 17:09:41
22825,2025-05-08,midday,451,10,1,2025-07-01 17:09:41
22826,2025-05-08,evening,161,8,8,2025-07-01 17:09:41
22823,2025-05-07,midday,309,12,3,2025-07-01 17:09:41
22824,2025-05-07,evening,789,24,6,2025-07-01 17:09:41
22821,2025-05-06,midday,235,10,1,2025-07-01 17:09:41
22822,2025-05-06,evening,109,10,1,2025-07-01 17:09:41
22819,2025-05-05,midday,153,9,9,2025-07-01 17:09:41
22820,2025-05-05,evening,073,10,1,2025-07-01 17:09:41
22817,2025-05-04,midday,301,4,4,2025-07-01 17:09:41
22818,2025-05-04,evening,555,15,6,2025-07-01 17:09:41
22816,2025-05-03,midday,961,16,7,2025-07-01 17:09:41
22815,2025-05-03,evening,435,12,3,2025-07-01 17:09:41
22814,2025-05-02,midday,423,9,9,2025-07-01 17:09:41
22813,2025-05-02,evening,468,18,9,2025-07-01 17:09:41
22811,2025-05-01,midday,139,13,4,2025-07-01 17:09:41
22812,2025-05-01,evening,338,14,5,2025-07-01 17:09:41
22809,2025-04-30,midday,104,5,5,2025-07-01 17:09:41
22810,2025-04-30,evening,763,16,7,2025-07-01 17:09:41
22807,2025-04-29,midday,196,16,7,2025-07-01 17:09:41
22808,2025-04-29,evening,093,12,3,2025-07-01 17:09:41
22805,2025-04-28,midday,658,19,1,2025-07-01 17:09:41
22806,2025-04-28,evening,146,11,2,2025-07-01 17:09:41
22803,2025-04-27,midday,315,9,9,2025-07-01 17:09:41
22804,2025-04-27,evening,452,11,2,2025-07-01 17:09:41
22801,2025-04-26,midday,619,16,7,2025-07-01 17:09:41
22802,2025-04-26,evening,306,9,9,2025-07-01 17:09:41
22800,2025-04-25,midday,122,5,5,2025-07-01 17:09:41
22799,2025-04-25,evening,550,10,1,2025-07-01 17:09:41
22797,2025-04-24,midday,086,14,5,2025-07-01 17:09:41
22798,2025-04-24,evening,101,2,2,2025-07-01 17:09:41
22796,2025-04-23,midday,760,13,4,2025-07-01 17:09:41
22795,2025-04-23,evening,246,12,3,2025-07-01 17:09:41
22793,2025-04-22,midday,562,13,4,2025-07-01 17:09:41
22794,2025-04-22,evening,334,10,1,2025-07-01 17:09:41
22791,2025-04-21,midday,389,20,2,2025-07-01 17:09:41
22792,2025-04-21,evening,199,19,1,2025-07-01 17:09:41
22789,2025-04-20,midday,380,11,2,2025-07-01 17:09:41
22790,2025-04-20,evening,699,24,6,2025-07-01 17:09:41
22787,2025-04-19,midday,788,23,5,2025-07-01 17:09:41
22788,2025-04-19,evening,674,17,8,2025-07-01 17:09:41
22785,2025-04-18,midday,243,9,9,2025-07-01 17:09:41
22786,2025-04-18,evening,753,15,6,2025-07-01 17:09:41
22783,2025-04-17,midday,542,11,2,2025-07-01 17:09:41
22784,2025-04-17,evening,197,17,8,2025-07-01 17:09:41
22782,2025-04-16,midday,595,19,1,2025-07-01 17:09:41
22781,2025-04-16,evening,881,17,8,2025-07-01 17:09:41
22779,2025-04-15,midday,716,14,5,2025-07-01 17:09:41
22780,2025-04-15,evening,171,9,9,2025-07-01 17:09:41
22777,2025-04-14,midday,839,20,2,2025-07-01 17:09:41
22778,2025-04-14,evening,304,7,7,2025-07-01 17:09:41
22775,2025-04-13,midday,284,14,5,2025-07-01 17:09:41
22776,2025-04-13,evening,501,6,6,2025-07-01 17:09:41
