draw_date,numbers,draw_time
2014-02-01,523,evening
2014-02-01,524,midday
2014-02-02,034,midday
2014-02-02,256,evening
2014-02-03,693,midday
2014-02-03,315,evening
2014-02-04,303,midday
2014-02-04,777,evening
2014-02-05,855,midday
2014-02-05,599,evening
2014-02-06,473,midday
2014-02-06,247,evening
2014-02-07,468,midday
2014-02-07,636,evening
2014-02-08,011,midday
2014-02-08,959,evening
2014-02-09,241,evening
2014-02-09,133,midday
2014-02-10,038,midday
2014-02-10,294,evening
2014-02-11,884,midday
2014-02-11,154,evening
2014-02-11,133,evening
2014-02-11,959,midday
2014-02-12,417,midday
2014-02-12,938,evening
2014-02-13,208,midday
2014-02-13,369,evening
2014-02-14,590,midday
2014-02-14,385,evening
2014-02-15,885,midday
2014-02-15,380,evening
2014-02-16,149,evening
2014-02-16,276,midday
2014-02-17,640,evening
2014-02-17,514,midday
2014-02-18,253,evening
2014-02-18,316,midday
2014-02-19,579,evening
2014-02-19,060,midday
2014-02-20,999,midday
2014-02-20,891,evening
2014-02-21,530,evening
2014-02-21,421,midday
2014-02-22,837,evening
2014-02-22,624,midday
2014-02-23,546,evening
2014-02-23,049,midday
2014-02-24,166,midday
2014-02-24,556,evening
2014-02-25,569,evening
2014-02-25,788,midday
2014-02-26,289,midday
2014-02-26,425,evening
2014-02-26,524,midday
2014-02-26,523,evening
2014-02-27,523,evening
2014-02-27,524,midday
2014-02-27,549,midday
2014-02-27,804,evening
2014-02-28,524,midday
2014-02-28,523,evening
2014-02-28,178,midday
2014-02-28,265,evening
2014-03-01,686,evening
2014-03-01,482,midday
2014-03-02,763,evening
2014-03-02,826,midday
2014-03-03,559,evening
2014-03-03,437,midday
2014-03-04,655,midday
2014-03-04,992,evening
2014-03-05,634,midday
2014-03-05,866,evening
2014-03-05,079,midday
2014-03-06,756,evening
2014-03-06,754,midday
2014-03-07,801,evening
2014-03-07,220,midday
2014-03-08,766,evening
2014-03-08,130,midday
2014-03-09,869,evening
2014-03-09,235,midday
2014-03-10,208,evening
2014-03-10,531,midday
2014-03-11,997,evening
2014-03-11,196,midday
2014-03-12,241,midday
2014-03-12,200,evening
2014-03-13,016,evening
2014-03-13,862,midday
2014-03-14,480,evening
2014-03-14,686,midday
2014-03-15,408,evening
2014-03-15,946,midday
2014-03-16,686,midday
2014-03-16,617,midday
2014-03-16,051,evening
2014-03-16,480,evening
2014-03-17,242,midday
2014-03-17,898,evening
2014-03-18,481,evening
