draw_date,numbers,draw_time
2014-02-01,703,midday
2014-02-01,372,evening
2014-02-02,564,midday
2014-02-02,142,evening
2014-02-03,225,evening
2014-02-03,862,midday
2014-02-04,704,midday
2014-02-04,599,evening
2014-02-05,124,midday
2014-02-05,641,evening
2014-02-06,840,evening
2014-02-06,521,midday
2014-02-07,917,evening
2014-02-07,315,midday
2014-02-07,958,evening
2014-02-07,432,midday
2014-02-08,344,midday
2014-02-08,323,evening
2014-02-09,223,evening
2014-02-09,767,midday
2014-02-10,744,midday
2014-02-10,654,evening
2014-02-11,396,midday
2014-02-11,656,evening
2014-02-12,568,midday
2014-02-12,159,evening
2014-02-13,626,midday
2014-02-13,101,evening
2014-02-14,708,midday
2014-02-14,583,evening
2014-02-15,585,evening
2014-02-15,343,midday
2014-02-16,124,evening
2014-02-16,020,midday
2014-02-17,072,midday
2014-02-17,344,evening
2014-02-18,496,evening
2014-02-18,849,midday
2014-02-19,828,evening
2014-02-19,170,midday
2014-02-20,007,midday
2014-02-20,315,evening
2014-02-20,124,midday
2014-02-20,072,evening
2014-02-21,917,midday
2014-02-21,809,evening
2014-02-22,975,midday
2014-02-22,714,evening
2014-02-23,545,midday
2014-02-23,000,evening
2014-02-24,621,evening
2014-02-24,557,midday
2014-02-25,739,midday
2014-02-25,656,evening
2014-02-26,473,midday
2014-02-26,910,evening
2014-02-26,703,midday
2014-02-26,372,evening
2014-02-27,372,evening
2014-02-27,703,midday
2014-02-27,425,midday
2014-02-27,086,evening
2014-02-28,372,evening
2014-02-28,703,midday
2014-02-28,653,midday
2014-02-28,337,evening
2014-03-01,787,evening
2014-03-01,309,midday
2014-03-02,451,midday
2014-03-02,068,evening
2014-03-03,542,evening
2014-03-03,672,midday
2014-03-04,853,evening
2014-03-04,766,midday
2014-03-05,042,evening
2014-03-05,007,midday
2014-03-05,842,midday
2014-03-06,214,midday
2014-03-06,982,evening
2014-03-07,042,midday
2014-03-07,507,midday
2014-03-07,749,evening
2014-03-07,214,evening
2014-03-08,846,evening
2014-03-08,636,midday
2014-03-09,774,midday
2014-03-09,407,evening
2014-03-10,983,midday
2014-03-10,668,evening
2014-03-11,749,midday
2014-03-11,756,evening
2014-03-12,732,midday
2014-03-12,192,evening
2014-03-13,640,evening
2014-03-13,570,midday
2014-03-13,525,evening
2014-03-13,486,midday
2014-03-14,677,midday
2014-03-14,536,evening
2014-03-15,666,midday
2014-03-15,907,evening
2014-03-16,683,midday
2014-03-16,896,evening
2014-03-17,708,evening
2014-03-17,228,midday
2014-03-18,903,evening
2014-03-18,705,midday
2014-03-19,579,midday
2014-03-19,385,evening
2014-03-20,570,evening
2014-03-20,013,midday
2014-03-21,274,evening
2014-03-21,525,midday
2014-03-22,674,midday
2014-03-22,407,evening
2014-03-23,052,evening
2014-03-23,335,midday
2014-03-23,787,evening
2014-03-23,309,midday
2014-03-24,309,midday
2014-03-24,787,evening
2014-03-24,096,midday
2014-03-24,769,evening
2014-03-25,309,midday
2014-03-25,563,evening
2014-03-25,787,evening
2014-03-25,896,midday
2014-03-26,309,midday
2014-03-26,875,evening
2014-03-26,445,midday
2014-03-26,787,evening
2014-03-27,309,midday
2014-03-27,787,evening
2014-03-27,330,midday
2014-03-27,493,evening
2014-03-28,763,evening
2014-03-28,309,midday
2014-03-28,787,evening
2014-03-28,722,midday
2014-03-29,739,midday
2014-03-29,539,evening
2014-03-30,877,midday
2014-03-30,976,evening
2014-03-31,911,midday
2014-03-31,331,evening
2014-04-01,010,evening
2014-04-01,842,midday
2014-04-02,856,midday
2014-04-02,293,evening
2014-04-03,017,midday
2014-04-03,405,evening
2014-04-04,250,midday
2014-04-04,260,evening
2014-04-05,040,midday
2014-04-05,334,evening
2014-04-06,175,midday
2014-04-06,185,evening
2014-04-07,802,midday
2014-04-07,534,evening
2014-04-08,694,evening
2014-04-08,619,midday
2014-04-09,052,evening
2014-04-09,708,midday
2014-04-10,659,evening
2014-04-10,552,midday
2014-04-10,856,midday
2014-04-10,293,evening
2014-04-11,924,midday
2014-04-11,666,evening
2014-04-12,619,evening
2014-04-12,124,midday
2014-04-13,930,midday
2014-04-13,709,evening
2014-04-14,899,midday
2014-04-14,343,evening
2014-04-15,362,midday
2014-04-15,368,evening
2014-04-16,224,midday
2014-04-16,217,evening
2014-04-17,405,midday
2014-04-17,250,evening
2014-04-17,065,midday
2014-04-17,143,evening
2014-04-18,954,midday
2014-04-18,951,evening
2014-04-19,859,midday
2014-04-19,488,evening
2014-04-20,684,evening
2014-04-20,975,midday
2014-04-21,887,evening
2014-04-21,305,midday
2014-04-22,945,midday
2014-04-22,097,evening
2014-04-23,373,midday
2014-04-23,363,evening
2014-04-24,088,midday
2014-04-24,429,evening
2014-04-25,329,midday
2014-04-25,115,evening
2014-04-26,066,midday
2014-04-26,277,evening
2014-04-27,576,midday
2014-04-27,088,evening
2014-04-28,867,evening
2014-04-28,417,midday
2014-04-29,705,evening
2014-04-29,711,midday
2014-04-30,226,midday
2014-04-30,930,evening
2014-04-30,010,evening
2014-04-30,842,midday
2014-05-01,501,evening
2014-05-01,149,midday
2014-05-02,881,evening
2014-05-02,520,midday
2014-05-03,141,evening
2014-05-03,467,midday
2014-05-04,459,evening
2014-05-04,961,midday
2014-05-05,931,evening
2014-05-05,710,midday
2014-05-06,299,evening
2014-05-06,319,midday
2014-05-07,682,evening
2014-05-07,415,midday
2014-05-08,672,evening
2014-05-08,598,midday
2014-05-08,537,midday
2014-05-08,047,evening
2014-05-09,463,midday
2014-05-09,022,evening
2014-05-10,523,evening
2014-05-10,657,midday
2014-05-11,913,evening
2014-05-11,121,midday
2014-05-12,008,evening
2014-05-12,036,midday
2014-05-13,047,evening
2014-05-13,537,midday
2014-05-14,220,evening
2014-05-14,606,midday
2014-05-15,476,evening
2014-05-15,727,midday
2014-05-16,336,midday
2014-05-16,943,evening
2014-05-17,112,midday
2014-05-17,550,evening
2014-05-18,837,evening
2014-05-18,197,midday
