draw_date,numbers,draw_time
2014-02-01,180,evening
2014-02-01,058,midday
2014-02-02,904,midday
2014-02-02,256,evening
2014-02-03,057,midday
2014-02-03,727,evening
2014-02-04,546,midday
2014-02-04,383,evening
2014-02-05,932,midday
2014-02-05,239,evening
2014-02-06,751,midday
2014-02-06,043,evening
2014-02-07,822,evening
2014-02-07,498,midday
2014-02-08,793,midday
2014-02-08,829,midday
2014-02-08,931,evening
2014-02-08,758,evening
2014-02-09,183,midday
2014-02-09,183,evening
2014-02-10,300,evening
2014-02-10,526,midday
2014-02-11,842,evening
2014-02-11,948,midday
2014-02-12,741,midday
2014-02-12,312,evening
2014-02-13,212,midday
2014-02-13,755,evening
2014-02-14,193,midday
2014-02-14,083,evening
2014-02-15,052,midday
2014-02-15,131,evening
2014-02-16,968,midday
2014-02-16,608,evening
2014-02-17,077,evening
2014-02-17,442,midday
2014-02-18,008,evening
2014-02-18,836,midday
2014-02-19,931,evening
2014-02-19,829,midday
2014-02-20,787,midday
2014-02-20,702,evening
2014-02-21,231,evening
2014-02-21,989,midday
2014-02-22,986,midday
2014-02-22,757,evening
2014-02-23,855,evening
2014-02-23,429,midday
2014-02-24,218,midday
2014-02-24,909,evening
2014-02-25,539,midday
2014-02-25,869,evening
2014-02-26,754,midday
2014-02-26,396,evening
2014-02-26,058,midday
2014-02-26,180,evening
2014-02-27,180,evening
2014-02-27,058,midday
2014-02-27,736,midday
2014-02-27,244,evening
2014-02-28,058,midday
2014-02-28,706,midday
2014-02-28,145,evening
2014-02-28,180,evening
2014-03-01,902,midday
2014-03-01,181,evening
2014-03-02,216,evening
2014-03-02,682,midday
2014-03-03,602,evening
2014-03-03,611,midday
2014-03-04,627,evening
2014-03-04,359,midday
2014-03-05,636,midday
2014-03-05,793,evening
2014-03-05,245,midday
2014-03-06,863,midday
2014-03-06,463,evening
2014-03-07,648,evening
2014-03-07,473,midday
2014-03-08,604,evening
2014-03-08,554,midday
2014-03-09,270,evening
2014-03-09,730,midday
2014-03-10,064,evening
2014-03-10,514,midday
2014-03-11,278,evening
2014-03-11,438,midday
2014-03-12,172,evening
2014-03-12,740,midday
2014-03-13,505,evening
2014-03-13,757,midday
2014-03-14,648,evening
2014-03-14,813,midday
2014-03-15,051,evening
2014-03-15,971,midday
2014-03-16,049,evening
2014-03-16,199,midday
2014-03-17,791,midday
2014-03-17,142,evening
2014-03-18,648,evening
2014-03-18,026,midday
2014-03-19,415,midday
2014-03-19,406,evening
2014-03-20,095,midday
2014-03-20,128,evening
2014-03-21,839,midday
2014-03-21,672,evening
2014-03-22,819,midday
2014-03-22,101,evening
2014-03-23,119,midday
2014-03-23,982,evening
2014-03-23,902,midday
2014-03-23,181,evening
2014-03-24,181,evening
2014-03-24,526,evening
2014-03-24,499,midday
2014-03-24,902,midday
2014-03-25,625,midday
2014-03-25,082,evening
2014-03-25,181,evening
2014-03-25,902,midday
2014-03-26,648,midday
2014-03-26,902,midday
2014-03-26,181,evening
2014-03-26,415,evening
2014-03-26,637,evening
2014-03-26,720,midday
2014-03-27,407,evening
2014-03-27,276,midday
2014-03-27,902,midday
2014-03-27,181,evening
2014-03-28,902,midday
2014-03-28,810,midday
2014-03-28,082,evening
2014-03-28,181,evening
2014-03-29,482,midday
2014-03-29,295,evening
2014-03-30,710,midday
2014-03-30,632,evening
2014-03-31,613,midday
2014-03-31,822,evening
2014-04-01,900,evening
2014-04-01,636,midday
2014-04-02,877,evening
2014-04-02,188,midday
2014-04-03,764,evening
2014-04-03,967,midday
2014-04-04,405,midday
2014-04-04,343,evening
2014-04-05,097,midday
